id;lastname;firstname;shirt_number;position;date_of_birth;team_id
17471;Rosický;Tomáš;10;Midfield;04.10.1980;387
17473;Podolski;Lukas;10;Forward;04.06.1985;419
17474;Wilshere;Jack;18;Midfield;01.01.1992;431
17475;Giroud;Olivier;9;Forward;30.09.1986;406
17478;Ramsey;Aaron;10;Midfield;26.12.1990;390
17481;Fabiański;Łukasz;22;Goalkeeper;18.04.1985;427
17507;Collins;James;19;Defender;23.08.1983;390
17518;Raț;Răzvan;3;Defender;26.05.1981;395
17620;Gunnarsson;Aron;17;Midfield;22.04.1989;412
17647;Hoolahan;Wes;20;Midfield;20.05.1982;421
17649;Olsson;Martin;5;Defender;17.05.1988;422
17666;Chester;James;5;Defender;23.01.1989;390
17668;Evans;Corry;13;Midfield;30.07.1990;423
17679;Quinn;Stephen;22;Midfield;04.04.1986;421
17680;Brady;Robbie;19;Midfield;14.01.1992;421
17681;Meyler;David;18;Midfield;29.05.1989;421
17750;Courtois;Thibaut;1;Goalkeeper;11.05.1992;430
17754;Alderweireld;Toby;2;Defender;02.03.1989;430
17758;Ciman;Laurent;23;Defender;05.08.1985;430
17760;Witsel;Axel;6;Midfield;12.01.1989;430
17762;Mertens;Dries;14;Forward;06.05.1987;430
17786;Fôn Williams;Owain;12;Goalkeeper;17.03.1987;390
17788;Gunter;Chris;2;Defender;21.07.1989;390
17789;King;Andy;8;Midfield;29.10.1988;390
17790;Vokes;Sam;18;Forward;21.10.1989;390
17791;Church;Simon;23;Forward;10.12.1988;390
17792;Robson-Kanu;Hal;9;Forward;21.05.1989;390
17801;Randolph;Darren;23;Goalkeeper;12.05.1987;421
17805;Hendrick;Jeff;13;Midfield;31.01.1992;421
17811;Gera;Zoltán;10;Forward;22.04.1979;396
17849;Topal;Mehmet;15;Midfield;03.03.1986;397
17858;Alves;Bruno;2;Defender;27.11.1981;424
17860;Kadlec;Michal;3;Defender;13.12.1984;387
17867;Gönül;Gökhan;7;Defender;04.01.1985;397
17869;Erkin;Caner;18;Midfield;04.10.1988;397
17931;Piqué;Gerard;3;Defender;02.02.1987;414
17932;Fàbregas;Cesc;10;Midfield;04.05.1987;414
17935;Rodríguez;Pedro;11;Forward;28.07.1987;414
17936;Iniesta;Andrés;6;Midfield;11.05.1984;414
17941;Bartra;Marc;4;Defender;15.01.1991;414
17942;Busquets;Sergio;5;Midfield;16.07.1988;414
17944;Alba;Jordi;18;Defender;21.03.1989;414
17957;Koke;;8;Midfield;08.01.1992;414
17961;Turan;Arda;10;Midfield;30.01.1987;397
17968;Juanfran;;16;Defender;09.01.1985;414
17986;Chiricheș;Vlad;6;Defender;14.11.1989;395
17988;Neuer;Manuel;1;Goalkeeper;27.03.1986;419
17990;Alcântara;Thiago;14;Midfield;11.04.1991;414
17993;Mandžukić;Mario;17;Forward;21.05.1986;416
17995;Shaqiri;Xherdan;23;Midfield;10.10.1991;411
17999;Boateng;Jérôme;17;Defender;03.09.1988;419
18000;Götze;Mario;19;Midfield;03.06.1992;419
18005;Müller;Thomas;13;Forward;13.09.1989;419
18007;Alaba;David;8;Midfield;24.06.1992;420
18009;Schweinsteiger;Bastian;7;Midfield;01.08.1984;419
18012;Kroos;Toni;18;Midfield;04.01.1990;419
18031;Arnautović;Marko;7;Forward;19.04.1989;420
18035;De Sciglio;Mattia;2;Defender;20.10.1992;417
18061;El Shaarawy;Stephan;22;Midfield;27.10.1992;417
18068;Griezmann;Antoine;7;Forward;21.03.1991;406
18069;Seferović;Haris;9;Forward;22.02.1992;411
18090;Gignac;André-Pierre;10;Forward;05.12.1985;406
18097;Payet;Dimitri;8;Midfield;29.03.1987;406
18106;Mandanda;Steve;16;Goalkeeper;28.03.1985;406
18115;Hubočan;Tomáš;15;Defender;17.09.1985;404
18116;Shirokov;Roman;15;Midfield;06.07.1981;385
18118;Shatov;Oleg;17;Midfield;29.06.1990;385
18120;Smolnikov;Igor;3;Defender;08.08.1988;385
18127;Tymoshchuk;Anatoliy;4;Midfield;30.03.1979;399
18139;Sigþórsson;Kolbeinn;9;Forward;14.03.1990;412
18160;Pintilii;Mihai;8;Midfield;09.11.1984;395
18162;Chipciu;Alexandru;7;Midfield;18.05.1989;395
18166;Prepeliță;Andrei;18;Midfield;08.12.1985;395
18167;Tătărușanu;Ciprian;12;Goalkeeper;09.02.1986;395
18174;Stanciu;Nicușor;10;Midfield;07.05.1993;395
18181;Popa;Adrian;20;Midfield;24.07.1988;395
18186;Carroll;Roy;12;Goalkeeper;30.09.1977;423
18219;İnan;Selçuk;8;Midfield;10.02.1985;397
18223;Yılmaz;Burak;17;Forward;15.07.1985;397
18227;Balta;Hakan;3;Defender;23.03.1983;397
18229;Kaya;Semih;2;Defender;24.02.1991;397
18245;Okotie;Rubin;9;Forward;06.06.1987;420
18248;Lindner;Heinz;12;Goalkeeper;17.07.1990;420
18263;Suttner;Markus;13;Defender;16.04.1987;420
18292;Leno;Bernd;12;Goalkeeper;04.03.1992;419
18300;Derdiyok;Eren;19;Forward;12.06.1988;411
18301;Can;Emre;14;Midfield;12.01.1994;419
18339;Gomes;André;15;Midfield;30.07.1993;424
18352;Hamšík;Marek;17;Midfield;27.07.1987;404
18355;Džemaili;Blerim;15;Midfield;12.04.1986;411
18357;Insigne;Lorenzo;20;Forward;04.06.1991;417
18362;Behrami;Valon;11;Midfield;19.04.1985;411
18365;Kozáčik;Matúš;23;Goalkeeper;27.12.1983;404
18368;Hubník;Roman;5;Defender;06.06.1984;387
18371;Limberský;David;8;Defender;06.10.1983;387
18375;Ďuriš;Michal;21;Forward;01.06.1988;404
18384;Kolář;Daniel;14;Midfield;27.10.1985;387
18389;Sommer;Yann;1;Goalkeeper;07.12.1988;411
18391;Ajeti;Arlind;18;Defender;25.09.1993;410
18399;Schär;Fabian;22;Defender;20.12.1991;411
18403;Frei;Fabian;8;Midfield;08.01.1989;411
18409;Aliji;Naser;17;Defender;27.12.1993;410
18413;Xhaka;Taulant;14;Midfield;28.03.1991;410
18415;Casillas;Iker;1;Goalkeeper;20.05.1981;414
18417;Pepe;;3;Defender;26.02.1983;424
18418;Ramos;Sergio;15;Defender;30.03.1986;414
18420;Khedira;Sami;6;Midfield;04.04.1987;419
18421;Ronaldo;Cristiano;7;Forward;05.02.1985;424
18430;Modrić;Luka;10;Midfield;09.09.1985;416
18432;Morata;Álvaro;7;Forward;23.10.1992;414
18448;Sigurðsson;Ragnar;6;Defender;19.06.1986;412
18461;Höwedes;Benedikt;4;Defender;29.02.1988;419
18467;Draxler;Julian;11;Midfield;20.09.1993;419
18475;Fuchs;Christian;5;Defender;07.04.1986;420
18478;Szalai;Ádám;9;Forward;09.12.1987;396
18480;Neustädter;Roman;5;Defender;18.02.1988;385
18491;Lewandowski;Robert;9;Forward;21.08.1988;427
18494;Hummels;Mats;5;Defender;16.12.1988;419
18495;Błaszczykowski;Jakub;16;Midfield;14.12.1985;427
18497;Şahin;Nuri;5;Midfield;05.09.1988;397
18504;Piszczek;Łukasz;20;Defender;03.06.1985;427
18511;Buffon;Gianluigi;1;Goalkeeper;28.01.1978;417
18512;Chiellini;Giorgio;3;Defender;14.08.1984;417
18514;Ogbonna;Angelo;5;Defender;23.05.1988;417
18515;Pogba;Paul;15;Midfield;15.03.1993;406
18524;Barzagli;Andrea;15;Defender;08.05.1981;417
18526;Bonucci;Leonardo;19;Defender;01.05.1987;417
18532;Lichtsteiner;Stephan;2;Defender;16.01.1984;411
18542;Motta;Thiago;10;Midfield;28.08.1982;417
18544;Ibrahimović;Zlatan;10;Forward;03.10.1981;422
18546;Matuidi;Blaise;14;Midfield;09.04.1987;406
18549;Digne;Lucas;17;Defender;20.07.1993;406
18553;Jallet;Christophe;2;Defender;31.10.1983;406
18556;Sirigu;Salvatore;12;Goalkeeper;12.01.1987;417
18558;Coman;Kingsley;20;Forward;13.06.1996;406
18575;Mangala;Eliaquim;13;Defender;13.02.1991;406
18585;Wernbloom;Pontus;16;Midfield;25.06.1986;422
18586;Ignashevich;Sergei;4;Defender;14.07.1979;385
18588;Berezutski;Aleksei;6;Defender;20.06.1982;385
18599;Berezutski;Vasili;14;Defender;20.06.1982;385
18602;Akinfeev;Igor;1;Goalkeeper;08.04.1986;385
18603;Shchennikov;Georgi;21;Defender;27.04.1991;385
18622;Özil;Mesut;8;Midfield;15.10.1988;419
18708;Mucha;Ján;1;Goalkeeper;05.12.1982;404
18710;Ďurica;Ján;4;Defender;10.12.1981;404
18711;Pekarík;Peter;2;Defender;30.10.1986;404
18712;Švento;Dušan;18;Defender;01.08.1985;404
18713;Saláta;Kornel;16;Defender;24.01.1985;404
18715;Kucka;Juraj;19;Midfield;26.02.1987;404
18717;Pečovský;Viktor;22;Midfield;24.05.1983;404
18718;Mak;Róbert;20;Midfield;08.03.1991;404
18720;Šesták;Stanislav;9;Forward;16.12.1982;404
18723;Nemec;Adam;11;Forward;02.09.1985;404
18724;Pyatov;Andriy;12;Goalkeeper;28.06.1984;399
18727;Kucher;Oleksandr;5;Defender;22.10.1982;399
18728;Shevchuk;Vyacheslav;13;Defender;13.05.1979;399
18730;Rakitskiy;Yaroslav;20;Defender;03.08.1989;399
18731;Khacheridi;Yevhen;3;Defender;28.07.1987;399
18734;Rotan;Ruslan;14;Midfield;29.10.1981;399
18735;Yarmolenko;Andriy;7;Midfield;23.10.1989;399
18736;Konoplyanka;Yevhen;10;Midfield;29.09.1989;399
18737;Stepanenko;Taras;6;Midfield;08.08.1989;399
18745;Seleznyov;Yevhen;11;Forward;20.07.1985;399
18747;Zozulya;Roman;8;Forward;17.11.1989;399
18841;Ferguson;Shane;3;Midfield;12.07.1991;423
18853;Kane;Harry;9;Forward;28.07.1993;431
18883;Srna;Darijo;11;Defender;01.05.1982;416
18926;Batshuayi;Michy;22;Forward;02.10.1993;430
19008;Lenjani;Ermir;3;Midfield;05.08.1989;410
19125;Kıvrak;Onur;12;Goalkeeper;01.01.1988;397
19130;Şahan;Olcay;11;Midfield;26.05.1987;397
19132;Çalhanoğlu;Hakan;6;Midfield;08.02.1994;397
19135;Tosun;Cenk;9;Forward;07.06.1991;397
19138;Djourou;Johan;20;Defender;18.01.1987;411
19139;von Bergen;Steve;5;Defender;10.06.1983;411
19141;Rodríguez;Ricardo;13;Defender;25.08.1992;411
19142;Lang;Michael;6;Defender;08.02.1991;411
19145;Xhaka;Granit;10;Midfield;27.09.1992;411
19146;Mehmedi;Admir;18;Forward;16.03.1991;411
19149;Patrício;Rui;1;Goalkeeper;15.02.1988;424
19151;Lopes;Anthony;12;Goalkeeper;01.10.1990;424
19154;Soares;Cédric;21;Defender;31.08.1991;424
19155;Moutinho;João;8;Midfield;08.09.1986;424
19162;Éder;;17;Forward;15.11.1986;424
19191;Halldórsson;Hannes Þór;1;Goalkeeper;27.04.1984;412
19193;Sævarsson;Birkir Már;2;Defender;11.11.1984;412
19194;Árnason;Kári;14;Defender;13.10.1982;412
19196;Skúlason;Ari Freyr;23;Defender;14.05.1987;412
19199;Hallfreðsson;Emil;20;Midfield;29.06.1984;412
19201;Guðmundsson;Jóhann Berg;7;Midfield;27.10.1990;412
19202;Bjarnason;Birkir;8;Midfield;27.05.1988;412
19205;Gudjohnsen;Eidur;22;Forward;15.09.1978;412
19206;Finnbogason;Alfreð;11;Forward;01.02.1989;412
19234;Wawrzyniak;Jakub;14;Defender;07.07.1983;427
19235;Jodłowiec;Tomasz;6;Midfield;08.09.1985;427
19236;Glik;Kamil;15;Defender;03.02.1988;427
19238;Jędrzejczyk;Artur;3;Defender;04.11.1987;427
19241;Salamon;Bartosz;18;Defender;01.05.1991;427
19244;Peszko;Sławomir;17;Midfield;19.02.1985;427
19246;Krychowiak;Grzegorz;10;Midfield;29.01.1990;427
19249;Zieliński;Piotr;19;Midfield;20.05.1994;427
19252;Milik;Arkadiusz;7;Forward;28.02.1994;427
19303;Almer;Robert;1;Goalkeeper;20.03.1984;420
19304;Özcan;Ramazan;23;Goalkeeper;28.06.1984;420
19306;Prödl;Sebastian;15;Defender;21.06.1987;420
19307;Garics;György;2;Midfield;08.03.1984;420
19308;Dragović;Aleksandar;3;Defender;06.03.1991;420
19309;Klein;Florian;17;Defender;17.11.1986;420
19312;Baumgartlinger;Julian;14;Midfield;02.01.1988;420
19313;Junuzović;Zlatko;10;Midfield;26.09.1987;420
19316;Harnik;Martin;11;Midfield;10.06.1987;420
19317;Janko;Marc;21;Forward;25.06.1983;420
19427;Berisha;Etrit;1;Goalkeeper;10.03.1989;410
19429;Shehi;Orges;12;Goalkeeper;25.09.1977;410
19430;Mavraj;Mërgim;15;Defender;09.06.1986;410
19431;Cana;Lorik;5;Defender;27.06.1983;410
19432;Agolli;Ansi;7;Defender;11.11.1982;410
19437;Hysaj;Elseid;4;Defender;20.02.1994;410
19441;Roshi;Odise;21;Midfield;21.05.1991;410
19442;Basha;Migjen;8;Midfield;05.01.1987;410
19443;Kaçe;Ergys;20;Midfield;08.07.1993;410
19444;Kukeli;Burim;13;Midfield;16.01.1984;410
19449;Sadiku;Armando;10;Forward;27.05.1991;410
19453;Subašić;Danijel;23;Goalkeeper;27.10.1984;416
19455;Ćorluka;Vedran;5;Defender;05.02.1986;416
19456;Strinić;Ivan;3;Defender;17.07.1987;416
19457;Vida;Domagoj;21;Defender;29.04.1989;416
19458;Schildenfeld;Gordon;13;Defender;18.03.1985;416
19459;Vrsaljko;Šime;2;Defender;10.01.1992;416
19463;Rakitić;Ivan;7;Midfield;10.03.1988;416
19465;Perišić;Ivan;4;Midfield;02.02.1989;416
19466;Kovačić;Mateo;8;Midfield;06.05.1994;416
19470;Kalinić;Nikola;16;Forward;05.01.1988;416
19472;Kombarov;Dmitri;23;Defender;22.01.1987;385
19478;Glushakov;Denis;8;Midfield;27.01.1987;385
19479;Samedov;Aleksandr;19;Midfield;19.07.1984;385
19480;Mamayev;Pavel;11;Midfield;17.09.1988;385
19482;Kokorin;Aleksandr;9;Forward;19.03.1991;385
19483;Smolov;Fyodor;10;Forward;05.02.1990;385
19594;McGovern;Michael;1;Goalkeeper;12.07.1984;423
19595;Cathcart;Craig;20;Defender;06.02.1989;423
19596;Hodson;Lee;22;Defender;02.10.1991;423
19598;Baird;Chris;6;Defender;25.02.1982;423
19599;Norwood;Oliver;16;Midfield;12.04.1991;423
19601;Ward;Jamie;19;Midfield;12.05.1986;423
19602;Grigg;Will;9;Forward;03.07.1991;423
19612;Cotterill;David;17;Forward;04.12.1987;390
19619;Stoch;Miroslav;10;Midfield;19.10.1989;404
19624;Lila;Andi;2;Defender;12.02.1986;410
19626;Balaj;Bekim;19;Forward;11.01.1991;410
19627;Vargić;Ivan;1;Goalkeeper;15.03.1987;416
19650;Király;Gábor;1;Goalkeeper;01.04.1976;396
19652;Gulácsi;Péter;22;Goalkeeper;06.05.1990;396
19655;Kádár;Tamás;4;Defender;14.03.1990;396
19658;Guzmics;Richárd;20;Defender;16.04.1987;396
19662;Dzsudzsák;Balázs;7;Forward;23.12.1986;396
19664;Elek;Ákos;6;Midfield;21.07.1988;396
19668;Stieber;Zoltán;18;Midfield;16.10.1988;396
19670;Németh;Krisztián;11;Forward;05.01.1989;396
19671;Böde;Dániel;13;Forward;24.10.1986;396
19672;Lovrencsics;Gergő;14;Midfield;01.09.1988;396
19673;Marchetti;Federico;13;Goalkeeper;07.02.1983;417
19681;Candreva;Antonio;6;Midfield;28.02.1987;417
19682;Florenzi;Alessandro;8;Midfield;11.03.1991;417
19688;Găman;Valerică;15;Defender;25.02.1989;395
19690;Mățel;Alexandru;2;Defender;17.10.1989;395
19691;Grigore;Dragoș;21;Defender;07.09.1986;395
19692;Torje;Gabriel;11;Midfield;22.11.1989;395
19695;Hoban;Ovidiu;5;Midfield;27.12.1982;395
19698;Stancu;Bogdan;19;Forward;28.06.1987;395
19700;Keșerü;Claudiu;13;Forward;02.12.1986;395
19727;Granqvist;Andreas;4;Defender;16.04.1985;422
19728;Källström;Kim;9;Midfield;24.08.1982;422
19729;Durmaz;Jimmy;21;Midfield;22.03.1989;422
19730;Zengin;Erkan;22;Midfield;05.08.1985;422
19756;Vaclík;Tomáš;16;Goalkeeper;29.03.1989;387
19757;Sivok;Tomáš;6;Defender;15.09.1983;387
19758;Gebre Selassie;Theodor;4;Defender;24.12.1986;387
19759;Suchý;Marek;17;Defender;29.03.1988;387
19761;Plašil;Jaroslav;13;Midfield;05.01.1982;387
19765;Lafata;David;21;Forward;18.09.1981;387
19770;McGeady;Aiden;7;Midfield;04.04.1986;421
19772;Keane;Robbie;10;Forward;08.07.1980;421
19774;Heaton;Tom;23;Goalkeeper;15.04.1986;431
19798;Vardy;Jamie;11;Forward;11.01.1987;431
19830;Pudil;Daniel;11;Midfield;27.09.1985;387
19849;Christie;Cyrus;15;Defender;30.09.1992;421
19984;Moți;Cosmin;4;Defender;03.12.1984;395
20028;Gómez;Mario;23;Forward;10.07.1985;419
20051;Umtiti;Samuel;22;Defender;14.11.1993;406
20078;Brozović;Marcelo;14;Midfield;16.11.1992;416
20079;Čop;Duje;22;Forward;01.02.1990;416
20181;Sydorchuk;Serhiy;16;Midfield;02.05.1991;399
20182;Harmash;Denys;19;Midfield;19.04.1990;399
20220;Jantscher;Jakob;22;Midfield;08.01.1989;420
20223;Ilsanker;Stefan;6;Midfield;18.05.1989;420
20236;Hinteregger;Martin;4;Defender;07.09.1992;420
20284;Darida;Vladimír;22;Midfield;08.08.1990;387
20481;Hiljemark;Oscar;15;Midfield;28.06.1992;422
20511;Lung;Silviu;23;Goalkeeper;04.06.1989;395
20592;Boyko;Denys;1;Goalkeeper;29.01.1988;399
20652;Torbinski;Dmitri;20;Midfield;28.04.1984;385
20733;Kramarić;Andrej;9;Forward;19.06.1991;416
20735;Novota;Ján;12;Goalkeeper;29.11.1983;404
20750;Sabitzer;Marcel;20;Midfield;17.03.1994;420
20765;Pavelka;David;15;Midfield;18.05.1991;387
20767;Rybalka;Serhiy;18;Midfield;01.04.1990;399
20778;Šural;Josef;18;Midfield;30.05.1990;387
20811;Şen;Volkan;20;Midfield;07.07.1987;397
20845;Necid;Tomáš;7;Forward;13.08.1989;387
20924;Schöpf;Alessandro;18;Midfield;07.02.1994;420
20926;Quaresma;Ricardo;20;Forward;26.09.1983;424
20938;Carvalho;William;14;Midfield;07.04.1992;424
20939;Dier;Eric;17;Midfield;15.01.1994;431
20952;Mário;João;10;Midfield;19.01.1993;424
21074;Hennessey;Wayne;1;Goalkeeper;24.01.1987;390
21077;Edwards;David;14;Midfield;03.02.1986;390
21231;Keogh;Richard;5;Defender;11.08.1986;421
21366;Bellerín;Héctor;12;Defender;19.03.1995;414
21420;Murphy;Daryl;21;Forward;15.03.1983;421
21634;Ward;Stephen;17;Defender;20.08.1985;421
21690;McCullough;Luke;15;Defender;15.02.1994;423
21720;Alli;Dele;20;Midfield;11.04.1996;431
21967;Dallas;Stuart;14;Midfield;19.04.1991;423
22341;Washington;Conor;11;Forward;18.05.1992;423
22567;McLaughlin;Conor;2;Defender;26.07.1991;423
22778;Rami;Adil;4;Defender;27.12.1985;406
22825;San José;Mikel;17;Defender;30.05.1989;414
22839;Aduriz;Aritz;20;Forward;11.02.1981;414
22880;Moubandje;François;3;Defender;21.06.1990;411
22897;Parolo;Marco;18;Midfield;25.01.1985;417
22916;De Rossi;Daniele;16;Midfield;24.07.1983;417
22921;Jedvaj;Tin;6;Defender;28.11.1995;416
22922;Nainggolan;Radja;4;Midfield;04.05.1988;430
22931;Gillet;Jean-François;13;Goalkeeper;31.05.1979;430
22935;Immobile;Ciro;11;Forward;20.02.1990;417
22945;Darmian;Matteo;4;Defender;02.12.1989;417
23005;Carvalho;Ricardo;6;Defender;18.05.1978;424
23010;Ferreira Carrasco;Yannick;11;Forward;04.09.1993;430
23015;Martial;Anthony;11;Forward;05.12.1995;406
23045;Soriano;Bruno;19;Midfield;12.06.1984;414
23117;Nolito;;22;Forward;15.10.1986;414
23134;Mustafi;Shkodran;2;Defender;17.04.1992;419
23173;Éder;;17;Forward;15.11.1986;417
23174;Williams;Jonny;20;Midfield;09.10.1993;390
23296;Silva;Adrien;23;Midfield;15.03.1989;424
23328;Alibec;Denis;9;Forward;05.01.1991;395
23395;Hrošovský;Patrik;13;Midfield;22.04.1992;404
23490;Origi;Divock;17;Forward;18.04.1995;430
23552;Sturaro;Stefano;14;Midfield;09.03.1993;417
23794;Embolo;Breel;7;Forward;14.02.1997;411
23859;Eliseu;;19;Defender;01.10.1983;424
24040;Gyömbér;Norbert;5;Defender;03.07.1992;404
24087;Săpunaru;Cristian;22;Defender;05.04.1984;395
24858;Guerreiro;Raphaël;5;Defender;22.12.1993;424
24875;Costil;Benoît;23;Goalkeeper;03.07.1987;406
24878;Grosicki;Kamil;11;Midfield;08.06.1988;427
25110;Zaza;Simone;7;Forward;25.06.1991;417
25136;Stępiński;Mariusz;13;Forward;12.05.1995;427
25188;Vieirinha;;11;Midfield;24.01.1986;424
25202;ter Stegen;Marc-André;22;Goalkeeper;30.04.1992;419
25255;Mallı;Yunus;19;Midfield;24.02.1992;397
25273;Badelj;Milan;19;Midfield;25.02.1989;416
25280;Tah;Jonathan;16;Defender;11.02.1996;419
25310;Hitz;Marwin;12;Goalkeeper;18.09.1987;411
25342;Bürki;Roman;21;Goalkeeper;14.11.1990;411
25356;Cionek;Thiago;4;Defender;21.04.1986;427
25358;Pazdan;Michał;2;Defender;21.09.1987;427
25359;Linetty;Karol;8;Midfield;02.02.1995;427
25495;Ekdal;Albin;8;Midfield;28.07.1989;422
25605;Eduardo;;22;Goalkeeper;19.09.1982;424
25606;Silva;Rafa;18;Midfield;17.05.1993;424
25625;Lodygin;Yuri;12;Goalkeeper;26.05.1990;385
25630;Dzyuba;Artem;22;Forward;22.08.1988;385
25667;Babacan;Volkan;1;Goalkeeper;12.08.1988;397
25671;Tufan;Ozan;16;Midfield;23.03.1995;397
25672;Özyakup;Oğuzhan;14;Midfield;23.09.1992;397
25680;Berg;Marcus;11;Forward;17.08.1986;422
25681;Hinterseer;Lukas;19;Forward;28.03.1991;420
25702;Magnússon;Hörður Björgvin;19;Defender;11.02.1993;412
25703;Böðvarsson;Jón Daði;15;Forward;25.05.1992;412
25904;Williams;George;13;Forward;07.09.1995;390
26154;Jónsson;Ingvar;13;Goalkeeper;18.10.1989;412
26416;Lafferty;Kyle;10;Forward;16.09.1987;423
26469;Korhut;Mihály;3;Defender;01.12.1988;396
26589;Kalinić;Lovre;12;Goalkeeper;03.04.1990;416
26616;Carlgren;Patrik;23;Goalkeeper;08.01.1992;422
26629;Lang;Ádám;2;Defender;17.01.1993;396
26647;Duda;Ondrej;8;Midfield;05.12.1994;404
26677;Augustinsson;Ludwig;17;Defender;21.04.1994;422
26900;Pjaca;Marko;20;Forward;06.05.1995;416
26967;Jansson;Pontus;13;Defender;13.02.1991;422
27052;Pellè;Graziano;9;Forward;15.07.1985;417
27090;Gashi;Shkëlzen;11;Forward;15.07.1988;410
27098;Butko;Bohdan;2;Defender;13.01.1991;399
27357;Fedetskyi;Artem;17;Defender;26.04.1985;399
27398;Hector;Jonas;3;Defender;27.05.1990;419
27406;Wimmer;Kevin;16;Defender;15.11.1992;420
27431;Andone;Florin;14;Forward;11.04.1993;395
27520;Bernardeschi;Federico;21;Midfield;16.02.1994;417
27633;Kanté;N'Golo;5;Midfield;29.03.1991;406
27853;Sânmărtean;Lucian;17;Midfield;13.03.1980;395
27892;Kabasele;Christian;18;Defender;24.02.1991;430
28206;Ćorić;Ante;18;Midfield;14.04.1997;416
